<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Rasio Besaran (Zoom)</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">1.1:1&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Ukuran Gambar</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">
<div>
<ul style=""margin: 0px 0px 0px 16px; padding: 0px;"">
<li>Maximum Image Size (width, cm) : 762&nbsp;&nbsp;</li>
<li>Minimum Image Size (width, cm) : 101&nbsp;&nbsp;</li>
</ul>
</div>
&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Tipe Lampu</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">
<div>
<ul style=""margin: 0px 0px 0px 16px; padding: 0px;"">
<li>Lamp Life : 3500 hours Normal (5000 hours Eco Mode)&nbsp;&nbsp;</li>
<li>Lamp Power : 230 W UHP&nbsp;&nbsp;</li>
</ul>
</div>
&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Input</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">VGA x 2, HDMI 1.4, S-Video, Composite, Stereo 3.5mm Mini Jack input, RS232C, RJ45/LAN, USB Mini-B (for control &amp; firmware), Stereo 3.5mm Mini Jack output, VGA Monitor Output&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Output</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">Monitor Out (VGA), 3.5mm stereo output&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Speaker</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">2W (1 x 2W)&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Kesesuaian Video</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">SDTV (NTSC, PAL, SECAM), SD (480i, 576i), ED/HDTVHD (480p,576p, 720p, 1080p)&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Daya / Power</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">100-240 Volts at 50-60 Hz&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Konsumsi Daya</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">
<div>
<ul style=""margin: 0px 0px 0px 16px; padding: 0px;"">
<li>Normal : 300W&nbsp;&nbsp;</li>
<li>Eco : 240W&nbsp;&nbsp;</li>
<li>Standby : 0.4W&nbsp;&nbsp;</li>
</ul>
</div>
&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Dimensi</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">(W x D x H) : 284 x 235 x 70 mm&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Berat</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">2.17 Kg&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Kelengkapan Paket</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">
<div>
<ul style=""margin: 0px 0px 0px 16px; padding: 0px;"">
<li>Proyektor dengan Lampu&nbsp;&nbsp;</li>
<li>Kabel Power&nbsp;&nbsp;</li>
<li>Kabel VGA&nbsp;&nbsp;</li>
<li>Remote control&nbsp;&nbsp;</li>
